Title,Pages,Genre,ReleaseDate,Author,Publisher
To Kill a Mockingbird,336,Fiction,1960-07-11,Harper Lee,HarperCollins
1984,328,Science Fiction,1949-06-08,George Orwell,Signet Classics
The Great Gatsby,180,Classics,1925-04-10,F. Scott Fitzgerald,Scribner
Pride and Prejudice,432,Romance,1813-01-28,Jane Austen,Penguin Classics
Harry Potter and the Sorcerer's Stone,320,Fantasy,1997-06-26,J.K. Rowling,Scholastic
The Catcher in the Rye,224,Coming of Age,1951-07-16,J.D. Salinger,Little, Brown and Company
To the Lighthouse,209,Modernist,1927-05-05,Virginia Woolf,Hogarth Press
The Hobbit,310,Fantasy,1937-09-21,J.R.R. Tolkien,Allen & Unwin
The Alchemist,197,Adventure,1988-04-25,Paulo Coelho,HarperOne
The Hunger Games,374,Dystopian,2008-09-14,Suzanne Collins,Scholastic
Brave New World,288,Science Fiction,1932-10-14,Aldous Huxley,Harper & Brothers
Fahrenheit 451,158,Dystopian,1953-10-19,Ray Bradbury,Ballantine Books
1984,328,Science Fiction,1949-06-08,George Orwell,Secker & Warburg
The Lord of the Rings,1178,Fantasy,1954-07-29,J.R.R. Tolkien,Allen & Unwin
Jane Eyre,594,Classic,1847-10-16,Charlotte Brontë,Smith, Elder & Co.
The Picture of Dorian Gray,254,Classic,1890-07-01,Oscar Wilde,Ward, Lock & Co.
One Hundred Years of Solitude,417,Magical Realism,1967-05-30,Gabriel García Márquez,Harper & Row
The Kite Runner,371,Fiction,2003-05-29,Khaled Hosseini,Riverhead Books
The Da Vinci Code,454,Thriller,2003-03-18,Dan Brown,Doubleday
Gone Girl,432,Thriller,2012-06-05,Gillian Flynn,Crown Publishing Group
The Girl on the Train,316,Thriller,2015-01-13,Paula Hawkins,Transworld Publishers
Animal Farm,122,Satire,1945-08-17,George Orwell,Secker & Warburg
The Chronicles of Narnia,767,Fantasy,1950-10-16,C.S. Lewis,Geoffrey Bles
Moby-Dick,896,Adventure,1851-10-18,Herman Melville,Richard Bentley
The Scarlet Letter,238,Classics,1850-03-16,Nathaniel Hawthorne,Ticknor, Reed & Fields
Frankenstein,280,Horror,1818-01-01,Mary Shelley,Lackington, Hughes, Harding, Mavor & Jones
The Grapes of Wrath,464,Fiction,1939-04-14,John Steinbeck,The Viking Press
The Odyssey,541,Classic,8th century BC,Homer,N/A
Lord of the Flies,224,Adventure,1954-09-17,William Golding,Faber and Faber
The Adventures of Huckleberry Finn,366,Adventure,1884-12-10,Mark Twain,Chatto & Windus
Pippi Longstocking,160,Children's,1945-05-23,Astrid Lindgren,Rabén & Sjögren
A Tale of Two Cities,448,Classics,1859-04-30,Charles Dickens,Chapman & Hall
The Sun Also Rises,251,Fiction,1926-10-22,Ernest Hemingway,Charles Scribner's Sons
Don Quixote,863,Classic,1605-01-16,Miguel de Cervantes,Francisco de Robles
The Shining,688,Horror,1977-01-28,Stephen King,Doubleday
War and Peace,1225,Historical Fiction,1869-01-01,Leo Tolstoy,The Russian Messenger
Wuthering Heights,464,Classic,1847-12-19,Emily Brontë,Thomas Cautley Newby
The Time Machine,118,Science Fiction,1895-05-07,H.G. Wells,William Heinemann
Anna Karenina,864,Classics,1877-01-01,Leo Tolstoy,The Russian Messenger
The Old Man and the Sea,127,Fiction,1952-09-01,Ernest Hemingway,Charles Scribner's Sons
Crime and Punishment,671,Classics,1866-01-01,Fyodor Dostoevsky,The Russian Messenger
Dracula,418,Horror,1897-05-26,Bram Stoker,Archibald Constable and Company